Globaler Bestandsreport über alle Lager
========================================================================

Lager Hauptlager Wien (ID: 69a5635c5f542739580c156f)
------------------------------------------------------------------------
  Produkt                   | Menge | Beschreibung
  ------------------------------------------------
  Bürostuhl Barhocker       |   379 | Bürostuhl Barhocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Ergonomisch     |   197 | Bürostuhl Ergonomisch. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Gamer           |   335 | Bürostuhl Gamer. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Hocker          |   207 | Bürostuhl Hocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Kinder          |    11 | Bürostuhl Kinder. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Netz            |   453 | Bürostuhl Netz. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Rollstuhl       |   245 | Bürostuhl Rollstuhl. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Standard        |   308 | Bürostuhl Standard. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Classic Ablage #42        |   281 | Classic Ablage #42. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Klemme #4         |    98 | Classic Klemme #4. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Klemme #9         |   130 | Classic Klemme #9. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Organizer #41     |   215 | Classic Organizer #41. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Tablett #43       |   257 | Classic Tablett #43. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Drucker Foto              |   228 | Drucker Foto. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Mobil             |   342 | Drucker Mobil. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Thermodruck       |   415 | Drucker Thermodruck. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Economy Aufbewahrung #8   |    21 | Economy Aufbewahrung #8. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Halterung #22     |   325 | Economy Halterung #22. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Klemme #38        |   378 | Economy Klemme #38. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Organizer #32     |   291 | Economy Organizer #32. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Schublade #37     |   488 | Economy Schublade #37. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Klemme #10     |   478 | Heavy-Duty Klemme #10. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Klemme #11     |   489 | Heavy-Duty Klemme #11. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Tablett #33    |   429 | Heavy-Duty Tablett #33. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kabel Adapter             |   249 | Kabel Adapter. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Ethernet            |   163 | Kabel Ethernet. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Flachkabel          |   178 | Kabel Flachkabel. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Glasfaser           |   108 | Kabel Glasfaser. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Spiralkabel         |   430 | Kabel Spiralkabel. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Thunderbolt         |   265 | Kabel Thunderbolt. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Verlängerung        |    40 | Kabel Verlängerung. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kompakt Haken #20         |   139 | Kompakt Haken #20. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Schublade #19     |   418 | Kompakt Schublade #19. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Lampe Deckenspot          |    81 | Lampe Deckenspot. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Leseleuchte         |   482 | Lampe Leseleuchte. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Nachtlicht          |   232 | Lampe Nachtlicht. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Solar               |   400 | Lampe Solar. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Stehlampe           |   217 | Lampe Stehlampe. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Tageslicht          |   340 | Lampe Tageslicht. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe UV                  |   144 | Lampe UV. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Light Haken #5            |   403 | Light Haken #5. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Maus Ergonomisch          |   395 | Maus Ergonomisch. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Laser                |   410 | Maus Laser. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Silent               |   136 | Maus Silent. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Trackball            |   219 | Maus Trackball. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Wireless             |   428 | Maus Wireless. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Monitor 27-Zoll           |    51 | Monitor 27-Zoll. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor 32-Zoll           |   456 | Monitor 32-Zoll. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor 4K UHD            |   374 | Monitor 4K UHD. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor OLED              |   274 | Monitor OLED. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor Portable          |   181 | Monitor Portable. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor TN                |   425 | Monitor TN. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor Ultra-Wide        |    62 | Monitor Ultra-Wide. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Premium Ablage #7         |    98 | Premium Ablage #7. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Premium Box #17           |   312 | Premium Box #17. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Premium Haken #16         |   425 | Premium Haken #16. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Profi Ablage #30          |    76 | Profi Ablage #30. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Profi Haken #31           |   370 | Profi Haken #31. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Profi Organizer #25       |   328 | Profi Organizer #25. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Regal Glas                |    23 | Regal Glas. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Hängeregal          |   344 | Regal Hängeregal. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Lager               |    95 | Regal Lager. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Metall              |    35 | Regal Metall. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Rollregal           |   160 | Regal Rollregal. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Winkelregal         |    51 | Regal Winkelregal. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Würfel              |   101 | Regal Würfel. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Schreibtisch Eck          |   426 | Schreibtisch Eck. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Industrie    |   369 | Schreibtisch Industrie. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Massivholz   |   108 | Schreibtisch Massivholz. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Stehpult     |     1 | Schreibtisch Stehpult. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Smart Ständer #24         |   130 | Smart Ständer #24. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Smart Ständer #47         |   113 | Smart Ständer #47. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Smart Tablett #48         |   245 | Smart Tablett #48. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Standard Ablage #36       |   391 | Standard Ablage #36. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Standard Aufbewahrung #44 |   227 | Standard Aufbewahrung #44. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Tastatur Beleuchtet       |   137 | Tastatur Beleuchtet. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Bluetooth        |   297 | Tastatur Bluetooth. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Ergonomisch      |   227 | Tastatur Ergonomisch. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Gaming           |   357 | Tastatur Gaming. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Kompakt          |   433 | Tastatur Kompakt. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Mechanisch       |   175 | Tastatur Mechanisch. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Membrane         |   187 | Tastatur Membrane. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Slim             |   329 | Tastatur Slim. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur USB-C            |   233 | Tastatur USB-C. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Tastatur Wireless         |   339 | Tastatur Wireless. Ideal für den professionellen Einsatz. Kategorie: Tastatur.
  Ultra Klemme #49          |   459 | Ultra Klemme #49. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Ultra Tablett #15         |   361 | Ultra Tablett #15. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Verpackung Beutel         |   315 | Verpackung Beutel. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Etiketten      |    26 | Verpackung Etiketten. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Karton A4      |   377 | Verpackung Karton A4. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Koffer         |   196 | Verpackung Koffer. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Luftpolster    |    33 | Verpackung Luftpolster. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Palette        |   285 | Verpackung Palette. Ideal für den professionellen Einsatz. Kategorie: Verpackung.
  Verpackung Transportbox   |   127 | Verpackung Transportbox. Ideal für den professionellen Einsatz. Kategorie: Verpackung.

Lager Nebenlager Graz (ID: 69a5635c5f542739580c1570)
------------------------------------------------------------------------
  Produkt                   | Menge | Beschreibung
  ------------------------------------------------
  Bürostuhl Barhocker       |    40 | Bürostuhl Barhocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Ergonomisch     |   472 | Bürostuhl Ergonomisch. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Executive       |   283 | Bürostuhl Executive. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Kinder          |    73 | Bürostuhl Kinder. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Netz            |    18 | Bürostuhl Netz. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Rollstuhl       |   292 | Bürostuhl Rollstuhl. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Sattelhocker    |   398 | Bürostuhl Sattelhocker. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Bürostuhl Standard        |   425 | Bürostuhl Standard. Ideal für den professionellen Einsatz. Kategorie: Bürostuhl.
  Classic Ablage #42        |    14 | Classic Ablage #42. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Box #2            |   430 | Classic Box #2. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Klemme #4         |    84 | Classic Klemme #4. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Klemme #9         |   109 | Classic Klemme #9. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Organizer #41     |   124 | Classic Organizer #41. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Organizer #6      |   308 | Classic Organizer #6. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Classic Schublade #14     |   209 | Classic Schublade #14. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Drucker Foto              |   303 | Drucker Foto. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Laser             |   202 | Drucker Laser. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Mobil             |   477 | Drucker Mobil. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Multifunktion     |   419 | Drucker Multifunktion. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Thermodruck       |   107 | Drucker Thermodruck. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Drucker Tintenstrahl      |   237 | Drucker Tintenstrahl. Ideal für den professionellen Einsatz. Kategorie: Drucker.
  Economy Aufbewahrung #8   |   430 | Economy Aufbewahrung #8. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Economy Schublade #37     |   478 | Economy Schublade #37. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Klemme #10     |   430 | Heavy-Duty Klemme #10. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Heavy-Duty Klemme #11     |   375 | Heavy-Duty Klemme #11. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kabel Adapter             |   471 | Kabel Adapter. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Ethernet            |    29 | Kabel Ethernet. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Flachkabel          |   401 | Kabel Flachkabel. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Glasfaser           |   328 | Kabel Glasfaser. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel USB-C               |   470 | Kabel USB-C. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kabel Verlängerung        |   115 | Kabel Verlängerung. Ideal für den professionellen Einsatz. Kategorie: Kabel.
  Kompakt Ablage #34        |   171 | Kompakt Ablage #34. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Haken #1          |   393 | Kompakt Haken #1. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Klemme #21        |   218 | Kompakt Klemme #21. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Kompakt Schublade #19     |   225 | Kompakt Schublade #19. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Lampe Klemmleuchte        |   231 | Lampe Klemmleuchte. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe LED-Schreibtisch    |   248 | Lampe LED-Schreibtisch. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Leseleuchte         |   379 | Lampe Leseleuchte. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Solar               |   273 | Lampe Solar. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe Tageslicht          |    35 | Lampe Tageslicht. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Lampe UV                  |   123 | Lampe UV. Ideal für den professionellen Einsatz. Kategorie: Lampe.
  Maus Ergonomisch          |   158 | Maus Ergonomisch. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Gaming               |   324 | Maus Gaming. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Laser                |   441 | Maus Laser. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Optisch              |    76 | Maus Optisch. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Silent               |   359 | Maus Silent. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Trackball            |    92 | Maus Trackball. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Vertikal             |   448 | Maus Vertikal. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Maus Wireless             |    56 | Maus Wireless. Ideal für den professionellen Einsatz. Kategorie: Maus.
  Monitor 24-Zoll           |   326 | Monitor 24-Zoll. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor 27-Zoll           |   381 | Monitor 27-Zoll. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor Portable          |   117 | Monitor Portable. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Monitor TN                |   158 | Monitor TN. Ideal für den professionellen Einsatz. Kategorie: Monitor.
  Premium Ablage #7         |   246 | Premium Ablage #7. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Premium Box #17           |   442 | Premium Box #17. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Premium Haken #16         |   217 | Premium Haken #16. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Premium Schublade #45     |   298 | Premium Schublade #45. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Profi Ablage #30          |   384 | Profi Ablage #30. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Profi Haken #31           |   281 | Profi Haken #31. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Profi Tablett #3          |   136 | Profi Tablett #3. Ideal für den professionellen Einsatz. Kategorie: Zubehör.
  Regal Archiv              |   345 | Regal Archiv. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Glas                |   471 | Regal Glas. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Holz                |   452 | Regal Holz. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Hängeregal          |    20 | Regal Hängeregal. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Lager               |   376 | Regal Lager. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Metall              |   179 | Regal Metall. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Schwing             |   453 | Regal Schwing. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Regal Würfel              |    58 | Regal Würfel. Ideal für den professionellen Einsatz. Kategorie: Regal.
  Schreibtisch Eck          |   247 | Schreibtisch Eck. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Glas         |   187 | Schreibtisch Glas. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Höhenverstel |   116 | Schreibtisch Höhenverstellbar. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Industrie    |   103 | Schreibtisch Industrie. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
  Schreibtisch Winkel       |   337 | Schreibtisch Winkel. Ideal für den professionellen Einsatz. Kategorie: Schreibtisch.
